feature_set,outcome,model,tier,metric,mean,std
F_NEW,mortality_12m,Stacking,T2_Ensemble,AUC,0.5784714157926155,0.02862596141673221
F_ALL,gose_12m,LASSO,T1_Classical,R2,0.684243555085734,0.04574765741113217
F_ALL,gose_12m,RF,T1_Classical,R2,0.6641071939189426,0.0590235072141505
F_ALL,gose_12m,GBR,T1_Classical,R2,0.6772514342443129,0.04309530733648
F_ALL,gose_12m,Stacking,T2_Ensemble,R2,0.6943114368591754,0.04621262894901472
F_ALL,gose_12m,Ordinal_LR,T3_Ordinal,R2,0.5650803041418816,0.0
F_ALL,fim_total_12m,LASSO,T1_Classical,R2,0.6726145218124566,0.031020789219793232
F_ALL,fim_total_12m,RF,T1_Classical,R2,0.6355554748158155,0.020222106590852995
F_ALL,fim_total_12m,GBR,T1_Classical,R2,0.663123655678514,0.022025909985602422
F_ALL,fim_total_12m,Stacking,T2_Ensemble,R2,0.6777947005097984,0.02926929266388835
F_ALL,barthel_12m,LASSO,T1_Classical,R2,0.6335736509262017,0.035714708980162935
F_ALL,barthel_12m,RF,T1_Classical,R2,0.5982984975385517,0.02760131007189588
F_ALL,barthel_12m,GBR,T1_Classical,R2,0.6175218803777099,0.027466879574991013
F_ALL,barthel_12m,Stacking,T2_Ensemble,R2,0.6390440290564634,0.03359436476027836
F_ALL,hads_anxiety_12m,LASSO,T1_Classical,R2,0.5216984562611481,0.01496421344189804
F_ALL,hads_anxiety_12m,RF,T1_Classical,R2,0.48149747999280024,0.021137775878629788
F_ALL,hads_anxiety_12m,GBR,T1_Classical,R2,0.4937936264078083,0.02626188077709494
F_ALL,hads_anxiety_12m,Stacking,T2_Ensemble,R2,0.5255580172955587,0.01695539380774998
F_ALL,moca_12m,LASSO,T1_Classical,R2,0.4459464845017977,0.020540860167669144
F_ALL,moca_12m,RF,T1_Classical,R2,0.39457700733672835,0.010715911500155934
F_ALL,moca_12m,GBR,T1_Classical,R2,0.4089865610742872,0.009212765679506652
F_ALL,moca_12m,Stacking,T2_Ensemble,R2,0.4432694413061714,0.022888748191294602
F_ALL,return_to_work_12m,LogReg,T1_Classical,AUC,0.8567217498351878,0.010166251660223618
F_ALL,return_to_work_12m,RF,T1_Classical,AUC,0.8150013528805893,0.006393328389471067
F_ALL,return_to_work_12m,GBC,T1_Classical,AUC,0.8496145573439492,0.009741609670138046
F_ALL,return_to_work_12m,Stacking,T2_Ensemble,AUC,0.8658608269563575,0.004855774563289593
F_ALL,mortality_12m,LogReg,T1_Classical,AUC,0.5726962755550298,0.02014298399492286
F_ALL,mortality_12m,RF,T1_Classical,AUC,0.5689253933852755,0.02113301269644453
F_ALL,mortality_12m,GBC,T1_Classical,AUC,0.573790589028733,0.03390901443996967
F_ALL,mortality_12m,Stacking,T2_Ensemble,AUC,0.5737509645784448,0.02461050310730234
